Classes Theme,Week Day,Date,Class Slides,Homework,Notes,Units,Extracted URLs,,,,,,
Homework Correction,Friday,09/05/2025,09/05 - Questions Practice,"28/04 - ""To Have"" and simple adjectives",Faltas: Zilda,,https://docs.google.com/presentation/u/0/d/1s17qPPd-9aDvtUFwKoW2W1qcd__Q-y_HTuQWOsUXfhc/edit,,,,,,
Big Unit 2 Review,Monday,12/05/2025,12/05 - Big Unit 2 Review,Original - Homework - 12/05,"Verbs List
Faltas: Sandra",,https://docs.google.com/presentation/u/0/d/1caLMxwcmtxvQcTYXs9VOev6pdfdBY9XbpEA3LVpOXjw/edit,,,,,,
Big Unit 2 Review,Monday,19/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,,,https://docs.google.com/presentation/u/0/d/1bQbOKOiWw9ufKaohRxLkcMHGJL2mgM6f7D44zkr2hhw/edit,,,,,,
Big Unit 2 Review,Friday,23/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,Faltas: ZIlda,,https://docs.google.com/presentation/u/0/d/1bQbOKOiWw9ufKaohRxLkcMHGJL2mgM6f7D44zkr2hhw/edit,,,,,,
Big Unit 2 Review,Monday,26/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,,,https://docs.google.com/presentation/u/0/d/1bQbOKOiWw9ufKaohRxLkcMHGJL2mgM6f7D44zkr2hhw/edit,,,,,,
Big Unit 2 Review,Friday,30/05/2025,19/05 - 30/05 - Big Unit 2 Review Part 2,Original - Homework - 12/05,Fechamento mes de aulas,,https://docs.google.com/presentation/u/0/d/1bQbOKOiWw9ufKaohRxLkcMHGJL2mgM6f7D44zkr2hhw/edit,,,,,,
Days of the Week,Monday,02/06/2025,02/06 - Days of the Week,Original Homework - 02/06,Faltas: Zilda,,https://docs.google.com/presentation/u/0/d/1dr5-1_GQp6GRxmsMBkbvUhGJy6sMpjR6IHW3f2ONvaM/edit,,,,,,
Times of the Day,Friday,06/06/2025,06/06 -  Times of the Day,Original - Homework - 06/06,,,https://docs.google.com/presentation/u/0/d/176C4daKsfOzwq5zYl-Xhk-brtykByB66hbhgVQDiAhI/edit,,,,,,
Meals,Monday,09/06/2025,09/06 - Meals,,,,https://docs.google.com/presentation/u/0/d/1_4pNrUx5JQmMBExekN206Le3D0WQ6ojjhiKfPku8LQY/edit,,,,,,
Chicken Little video and Meals,Friday,13/06/2025,13/06 - Chicken Little,Original - Homework - 13/06,,,https://docs.google.com/presentation/u/0/d/1KbYEds3WgqEYTCJnLvguGZOmabq45VJEkWxB-3Opp4A/edit,,,,,,
Chicken Little Part 2 and Questions,Monday,16/06/2025,16/06 - Chicken Little Part 2,Original - Homework - 13/06,,,https://docs.google.com/presentation/u/0/d/1mX9RoY4EGydPyum-0jHss-ac772PDTBFB1BZ-oODVUo/edit,,,,,,
Chicken Little Part 3,Friday,20/06/2025,20/06 - Chicken Little Part 3,Original - Homework - 20/06,,,https://docs.google.com/presentation/u/0/d/1o-zE7PRCQk72KuXWpUCCs4gnIb9SAYpSfXz3jbm4DlM/edit,,,,,,
,Monday,23/06/2025,,,Cancelled,,#REF!,,,,,,
Chicken Little Part 4,Friday,27/06/2025,27/06 - Chicken Little Part 4,Original - Homework - 27/06,,,https://docs.google.com/presentation/u/0/d/1hbwNpVH8xGWb3PHEjqf5mn8fa7se8Df6xhq6N7t6_Ws/edit,,,,,,
Chciken Little Part 5,Monday,30/06/2025,30/06 - Chicken Little Part 5,Original - Homework - 30/06,Fechamento mes de aulas,,https://docs.google.com/presentation/u/0/d/1IvaYE1IAgo-z6j63a54LhGRzfRYydklqjlmCY4Wz4tw/edit,,,,,,
Chicken Little Part 6,Friday,04/07/2025,04/07 - Chicken Little Part 6,Original - Homework - 04/07,,,https://docs.google.com/presentation/u/0/d/1htSxiqPNTU2x9eil9GL82rsZIRh9_aqTvpodsLQtyq8/edit,,,,,,
Chicken Little Part 7,Monday,07/07/2025,07/07 - Chicken Little Part 7,,Faltas: Zilda,,https://docs.google.com/presentation/u/0/d/1ChYyGWhwSYNMlL2tnt2Tyuatyidfr3RYepvokYpmDrE/edit,,,,,,
Chicken Little Part 8,Friday,11/07/2025,11/07 - Chicken Little Part 8,11/07 - Original - Homework,,,https://docs.google.com/presentation/u/0/d/1ryIDq8SCuf3NiKvV5KIe4lT6GO2s4jguCBneHd3C4hQ/edit,,,,,,
Chicken Little Part 9 ,Monday,14/07/2025,14/07 - Chicken Little Part 9,,,,https://docs.google.com/presentation/u/0/d/1-qJ24P4LqKSTFjJATWCnZye0tsmsnDbn-yGUwxCM-dw/edit,,,,,,
Routines,Friday,18/07/2025,18/07 - Routines and Preposition - Part 1, 18/07 - Homework - Original ,Documento extra: Prepositions: Rules,,https://docs.google.com/presentation/u/0/d/1XqURm7EJoALCQBgO1LNBd7Ct9X4GeDB1ofkxEwFBYwc/edit,,,,,,
Routines and Preposition,Monday,21/07/2025,21/07 - Routines and Preposition - Part 2,"
Original - Homework - 21/07",,,https://docs.google.com/presentation/u/0/d/1HK47DVC8GNGUAB71tfOJIbumBgFwVIx8ESSUEv1xYhg/edit,,,,,,
Routines and Preposition,Friday,25/07/2025,25/07 - Routines and Preposition - Part 3,Original - Homework - 25/07,,,https://docs.google.com/presentation/u/0/d/1yx7W7Db-H6paAaSBhD0eCZ6YVcec_dnQyixfi3nlMvQ/edit,,,,,,
Routines and Preposition,Monday,28/07/2025,28/07 - Routines and Prepositions - Part 4,Original - Homework - 28/07,Fechamento do Mes de aulas,,https://docs.google.com/presentation/u/0/d/1UMf0oMVeCHuSIOJY6RtoDHk95gXL-MJk-vcHX16PqMs/edit,,,,,,
Preposition and Adverbs,Friday,01/08/2025,01/08 - Prepositions and Adverbs,,Prepositons ja estudadas em aula,,https://docs.google.com/presentation/u/0/d/18d4p6oy89sTrQeNZ-NuBdO__8DkX5c2lnNtU_Hyojac/edit,,,,,,
Preposition and Adverbs,Monday,04/08/2025,04/08 - Prepositions and Adverbs - Part 6,Original - Homework - 04/08,,,https://docs.google.com/presentation/u/0/d/10c86VzmyhIOVdW2NMBrHGxnhGwkLwV93HRJMemPO8QE/edit,,,,,,
"Preposition, Adverbs and routines",Friday,08/08/2025,"08/08 - Prepositions, Adverbs and Routines",Ana,,,https://docs.google.com/presentation/u/0/d/1oky6p1q_fMyb0HW2Aypsh7B4MSx-KhQ3ASI9EqDGRCM/edit,,,,,,
"Preposition, Adverbs and routines",Monday,11/08/2025,11/08 - Routine,Original - Homework - 11/08,,,https://docs.google.com/presentation/u/0/d/15Vxt91_0h6s3RARfFd9oT7aMU4bmGerTEVziaOW3n8Y/edit,,,,,,
"Preposition, Adverbs and routines",Friday,15/08/2025,15/08 - Routine part 2,,,,https://docs.google.com/presentation/u/0/d/1Aces6-nCqCWaxfxwpe1JiDn2e14qenyGGPVuLRaruL8/edit,,,,,,
"Preposition, Adverbs and routines",Monday,18/08/2025,18/08 - Asking about Routine,Original - Homework - 18/08,,,https://docs.google.com/presentation/u/0/d/1PVNvb2PejlrbY81mlEwhoHBbCwmBmVoN7-LJEeIub5E/edit,,,,,,
"Preposition, Adverbs and routines",Friday,22/08/2025,22/08 - Asking about Routine,Original - Homework - 18/08,,,https://docs.google.com/presentation/u/0/d/1Mi86dvPhfuqjXdUzBOSyfpXIgD8cBOdTR4D5hfQrSXY/edit,,,,,,
"Preposition, Adverbs and routines",Monday,25/08/2025,25/08 - Asking about Routine part 3,Holiday Practice Pack August,Fechamento do Mês,,https://docs.google.com/presentation/u/0/d/1ktpFj87X8dCk9svKRB8u_HLG3fcfKzHDLzP_Xn6JY7k/edit,,,,,,
,Friday,29/08/2025,,,Teacher Ana's Vacation,,#REF!,,,,,,
,Monday,01/09/2025,,,Teacher Ana's Vacation,,#REF!,,,,,,
,Friday,05/09/2025,,,Teacher Ana's Vacation,,#REF!,,,,,,
Units 3 and 4 review,Monday,08/09/2025,08/09 + 12/09 - Units 3 and 4 review,,,,https://docs.google.com/presentation/u/0/d/1wB60GoZNRc1BXkDvfeE4hgtZMm7fSd_mhf4LxSW0HaA/edit,,,,,,
Units 3 and 4 review,Friday,12/09/2025,08/09 + 12/09 - Units 3 and 4 review,,,,https://docs.google.com/presentation/u/0/d/1wB60GoZNRc1BXkDvfeE4hgtZMm7fSd_mhf4LxSW0HaA/edit,,,,,,
Units 3 and 4 review,Monday,15/09/2025,15/09 - Holiday Practice Pack correction part 3,,,,https://docs.google.com/presentation/u/0/d/1GTFx19EYKiyCbKVfO2DEl5vRXQTuw4HPmCJAI_wcheU/edit,,,,,,
Telling time,Friday,19/09/2025,19/09 - Time,Semptember,,,https://docs.google.com/presentation/u/0/d/119_QKipiB_Kv9HgDIrbJzJ5bwRAM7br0vZitVavVfy0/edit,,,,,,
Months of the Year and time,Monday,22/09/2025,22/09 - Months,,Faltas: Zilda,,https://docs.google.com/presentation/u/0/d/1hhwwU72WTwKxkpi-AIBcrjTCY4k_rdkspOBFtVX84Cc/edit,,,,,,
,Friday,26/09/2025,,,Cancelled,,#REF!,,,,,,
Time,Monday,29/09/2025,29/09 - Time,Original - Homework - 29/09,Fechamento do mês,,https://docs.google.com/presentation/u/0/d/1jyzPGOxGgMaXc7FbnyumjEOq0TiFmypf0arH0R-cD-k/edit,,,,,,
Time Practice,Friday,03/10/2025,03/10 - Time practice,,,,https://docs.google.com/presentation/u/0/d/1AUKA2VCVr_sWticneEqihOXFcRvXBjTXZdtFjetGO6Q/edit,,,,,,
Time practice part 2,Monday,06/10/2025,06/10 - Time practice Part 2,,,,https://docs.google.com/presentation/u/0/d/1OLUbTyVFEyGi_dcLtWYDXQiIS9q8v8GbLsOUQF0vJ6I/edit,,,,,,
,Friday,10/10/2025,,,Cancelled,,#REF!,,,,,,
Time Practice part 3,Monday,13/10/2025,13/10 - Time practice Part 3,13/10 - Homework - Original,,,https://docs.google.com/presentation/u/0/d/1FDgzFFVFsuAV8sN8RY0OeeXYGpS4vogVAez0CUfK-mE/edit,,,,,,
Time Practice part 4,Friday,17/10/2025,17/10 Time practice Part 4,,,,https://docs.google.com/presentation/u/0/d/1khEJwTj3wz07CwqmAhOIzAub8vFSbE0QNdExGYpjnV0/edit,,,,,,
Time Practice Final Part,Monday,20/10/2025,20/10 - Time practice Final Part,20/10 - Homework - Original,,,https://docs.google.com/presentation/u/0/d/1Ux0GZ6q3fiuNu1cQHjrSdvB_MAeELklM8-A3PRgrVVg/edit,,,,,,
"Time after time (final, final!)",Friday,24/10/2025,24/10 - Time after time,,,,https://docs.google.com/presentation/u/0/d/1c-lMwYEqhea31X_6w02TUjC8HP0oVScePH5UUaFe-zU/edit,,,,,,
Time and Family,Monday,27/10/2025,27/10 - Time and Family,,,,https://docs.google.com/presentation/u/0/d/1dUGyY4wi-fnJHs35Me-o3MNw5tqemfoQxC2FwlEPEwY/edit,,,,,,
,Friday,31/10/2025,,,Cancelled,,#REF!,,,,,,
Unit 4 Review - Part 1,Monday,17/11/2025,17/11 - Review Time!,Original - Homework - 17/11,,,https://docs.google.com/presentation/u/0/d/10Q5IZ_0d-xfmLl8isMPxLckjgZtTN6EoiSvmZdSFcuU/edit,,,,,,
Unit 4 Review - Part 2,Friday,21/11/2025,21/11 - Review Time Part 2,Original - Homework - 21/11,,,https://docs.google.com/presentation/u/0/d/1CIc4se8deVweo7rOyzTvP19QDXA0jA1GP4hy7G6dA9A/edit,,,,Review - Materia ,,Full Review of Units 1-4 A1 - 2025
Unit 4 Review - Part 3,Monday,24/11/2025,24/11 - Review Time Part 3,Original - Homework - 24/11,,,https://docs.google.com/presentation/u/0/d/14gp7gpCSU6rJZ_qQSmSaqm76Cw7geKInwgNOg2Eo1mw/edit,,,,Exercicios ,,Review Units 1-4 Exercises
Unit 4 Review - Part 4,Friday,28/11/2025,28/11 - Review Time Part 4,,,,https://docs.google.com/presentation/u/0/d/1ueqp4NgH_n45DC0evS1iU4uartA9kYnJY9d9JFVbdoI/edit,,,,,,
Unit 4 Review - Part 5,Monday,01/12/2025,01/12 - Review Time Part 5,,,,https://docs.google.com/presentation/u/0/d/1Zx4Kb2e8htXGu-vjAtbJ9AQPO1wfTlKGm162RPMMK34/edit,,,,,,
Christmas,Friday,05/12/2025,05/12 - It's Christmas,,,,https://docs.google.com/presentation/u/0/d/15oajxnZgsXJksnkWAvA3gQSM3Y9pb23Y1rJsz3DFSDc/edit,,,,,,
Christmas,Monday,08/12/2025,08/12 - It's Christmas,,,,https://docs.google.com/presentation/u/0/d/1LZDir0zEi0ORB_c_sjyecEPSA5LtttDvt6x1PTAIzIY/edit,,,,,,
Homework Review,Friday,16/01/2026,16/01/26 - Welcome Back - Review 1-4,Review Units 1-4 Exercises,Full Review of Units 1-4 A1 - 2025,,https://docs.google.com/presentation/u/0/d/1zYyjJdojPITR5Q6L3Qk8sXn9HZC8sSxcDI9LjZrf8A8/edit,,,,,,
Homework Review,Monday,19/01/2026,16/01/26 - Welcome Back - Review 1-4,Review Units 1-4 Exercises,Full Review of Units 1-4 A1 - 2025,,https://docs.google.com/presentation/u/0/d/1zYyjJdojPITR5Q6L3Qk8sXn9HZC8sSxcDI9LjZrf8A8/edit,,,,,,
Homework Review,Friday,23/01/2026,23/01/26 - Welcome Back - Review 2-3,Review Units 1-4 Exercises,,,https://docs.google.com/presentation/u/0/d/13UVPKRBmZoCSgH3bdBKX6SQRDC-He9pVDquH6ZEQaOQ/edit,,,,,,
Homework Review,Monday,26/01/2026,23/01/26 - Welcome Back - Review 2-3,Review Units 1-4 Exercises,,,https://docs.google.com/presentation/u/0/d/13UVPKRBmZoCSgH3bdBKX6SQRDC-He9pVDquH6ZEQaOQ/edit,,,,,,
Homework Review,Friday,30/01/2026,,,Teacher Ana's Vacation,,#REF!,,,,,,
,Monday,02/02/2026,,,Teacher Ana's Vacation,,#REF!,,,,,,
,Friday,06/02/2026,,,Teacher Ana's Vacation,,#REF!,,,,,,
,Monday,09/02/2026,,,Teacher Ana's Vacation,,#REF!,,,,,,
Homework Review,Friday,13/02/2026,13/02/26 - Review Units 2-3,Review Units 1-4 Exercises,,,https://docs.google.com/presentation/u/0/d/1zlH28lHgbgcxXZQIAmU36bEl-UKigv_EsVlQSwzfnjk/edit,,,,,,
,Monday,16/02/2026,,,Carnaval,,#REF!,,,,,,
Homework Review,Friday,20/02/2026,13/02/26 - Review Units 2-3,Review Units 1-4 Exercises,,,https://docs.google.com/presentation/u/0/d/1zlH28lHgbgcxXZQIAmU36bEl-UKigv_EsVlQSwzfnjk/edit,,,,,,
Homework Review,Monday,23/02/2026,13/02/26 - Review Units 2-3,Review Units 1-4 Exercises,,,https://docs.google.com/presentation/u/0/d/1zlH28lHgbgcxXZQIAmU36bEl-UKigv_EsVlQSwzfnjk/edit,,,,,,
Homework Review,Friday,27/02/2026,13/02/26 - Review Units 2-3,Review Units 1-4 Exercises,Faltas: Monica,,https://docs.google.com/presentation/u/0/d/1zlH28lHgbgcxXZQIAmU36bEl-UKigv_EsVlQSwzfnjk/edit,,,,,,
Homework Review,Monday,02/03/2026,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Endereco da Pasta Englsih Classes A1,https://drive.google.com/drive/folders/1w-oyDh2NxXmfOLzl6IedosP0hLoukFUec6xvWSwGjL7E79cE-BHPzrkYvctFhLV4w3KsbPga,,,,,
